County,Population
DC:District of Columbia,705749
MD:Anne Arundel,579234
MD:Baltimore,827370
MD:Baltimore city,593490
MD:Calvert,92525
MD:Caroline,33406
MD:Carroll,168447
MD:Cecil,102855
MD:Charles,163257
MD:Dorchester,31929
MD:Frederick,259547
MD:Harford,255441
MD:Howard,325690
MD:Kent,19422
MD:Montgomery,1050688
MD:Prince George's,909327
MD:Queen Anne's,50381
MD:St. Mary's,113510
MD:Talbot,37181
MD:Washington,151049
VA:Alexandria city,159428
VA:Arlington,236842
VA:Clarke,14619
VA:Culpeper,52605
VA:Fairfax,1147532
VA:Fairfax city,24019
VA:Falls Church city,14617
VA:Fauquier,71222
VA:Frederick,89313
VA:Fredericksburg city,29036
VA:King George,26836
VA:Loudoun,413538
VA:Manassas city,41085
VA:Manassas Park city,17478 
VA:Prince William,470335
VA:Rappahannock,7370
VA:Stafford,152882
VA:Warren,40164
VA:Westmoreland,18015
VA:Winchester city,28078
AllCounties,9525512
